longtemps, long time
pourrais, could
eux, them
premier, first
pendant, while
demandé, request
boulot, job
vieux, old
parle, speak
aimerais, would like to
aura, will have
demande, request
devrait, should
pouvoir, power
perdu, lost
voici, here is
parlé, speak
tiens, here
espère, hope
vont, will
croire, believe
chérie, sweetheart
aujourd'hui, today
partie, part
donner, give
donne, given
pensais, thought
train, train
façon, way
laisser, let
point, point
fin, end
laisse, leash
cause, cause
étaient, were
arrêter, Stop
filles, girls
nouvelle, new
compris, understood
seulement, only
tellement, so much
minutes, minutes
bureau, office
yeux, eyes
matin, morning
aucun, no
savais, knew
parti, left
venu, came
suite, after
sois, be
arrivé, come
main, hand
gros, large
endroit, place
droit, law
donné, given
vers, towards
genre, kind
heures, hours
type, type
première, first
trouve, find
frère, brother
attention, Warning
aucune, any
ville, city
chambre, bedroom
bébé, baby
écoute, listen
venez, come
dirait, would say
place, square
mois, month
chaque, each
enfant, child
police, police
dont, whose
devant, in front of
chercher, search
eau, water
côté, side
aide, help
enfin, finally
